sampleID	Metadata	Level	Rank_code	Rank_I	Rank_II	Rank_III	Rank_IV	Rank_V	ARGs_unranked	Total_abu
170201Alm_D17-1569	None	Level 1	10.9-1.7-1.1-1.1-1.1-0.4	1.4E-01	6.4E-02	5.1E-02	4.3E-01	1.6E-01	1.6E-01	1.1E+03
170613Alm_D17-137007	None	Level 1	6.5-8.6-0.4-0.8-0.6-0.4	8.2E-02	3.3E-01	2.0E-02	3.1E-01	1.0E-01	1.6E-01	1.6E+03
170120Alm_D17-104015	None	Level 1	4.1-1.5-0.3-0.9-2.6-0.3	5.1E-02	6.0E-02	1.3E-02	3.6E-01	4.1E-01	1.1E-01	8.8E+02
170120Alm_D17-104018	None	Level 1	4.0-2.6-0.4-1.0-2.2-0.3	5.0E-02	1.0E-01	2.1E-02	3.7E-01	3.4E-01	1.2E-01	1.1E+03
170613Alm_D17-137004	None	Level 1	7.5-6.7-0.9-1.1-0.5-0.3	9.4E-02	2.6E-01	4.3E-02	4.2E-01	7.6E-02	1.1E-01	1.6E+03
170120Alm_D17-104002	None	Level 2	2.2-4.4-0.6-0.9-1.9-0.3	2.8E-02	1.7E-01	3.0E-02	3.6E-01	2.9E-01	1.3E-01	1.2E+03
170120Alm_D17-104019	None	Level 2	2.3-3.4-0.5-0.9-2.2-0.4	2.8E-02	1.3E-01	2.1E-02	3.3E-01	3.5E-01	1.5E-01	8.8E+02
170201Alm_D17-1566	None	Level 1	9.5-4.1-0.9-1.0-0.9-0.5	1.2E-01	1.6E-01	4.0E-02	3.7E-01	1.4E-01	1.8E-01	1.1E+03
170201Alm_D17-1570	None	Level 1	8.5-9.1-0.9-0.6-0.2-0.6	1.1E-01	3.5E-01	4.4E-02	2.4E-01	3.2E-02	2.2E-01	1.9E+03
170201Alm_D17-1573	None	Level 1	10.3-3.6-1.3-0.9-0.4-0.7	1.3E-01	1.4E-01	6.2E-02	3.6E-01	6.7E-02	2.4E-01	1.0E+03
170613Alm_D17-137005	None	Level 1	6.8-7.9-0.9-0.8-0.6-0.4	8.5E-02	3.0E-01	4.4E-02	3.2E-01	8.6E-02	1.6E-01	1.4E+03
170613Alm_D17-137009	None	Level 1	8.4-7.2-0.8-0.9-0.5-0.5	1.1E-01	2.8E-01	3.7E-02	3.4E-01	7.0E-02	1.7E-01	2.2E+03
170201Alm_D17-1572	None	Level 1	5.6-2.8-0.8-1.2-1.0-0.5	7.0E-02	1.1E-01	3.9E-02	4.5E-01	1.5E-01	1.8E-01	1.1E+03
170120Alm_D17-104007	None	Level 1	3.5-2.9-0.4-1.1-1.9-0.3	4.4E-02	1.1E-01	1.8E-02	4.1E-01	3.0E-01	1.2E-01	1.2E+03
170613Alm_D17-137001	None	Level 1	6.1-9.9-0.9-0.7-0.3-0.6	7.7E-02	3.8E-01	4.2E-02	2.5E-01	4.3E-02	2.0E-01	2.0E+03
170120Alm_D17-104004	None	Level 2	2.3-4.5-1.3-0.8-1.8-0.4	2.9E-02	1.7E-01	6.0E-02	3.2E-01	2.8E-01	1.4E-01	9.5E+02
170120Alm_D17-104021	None	Level 2	2.7-2.7-0.3-1.0-2.1-0.4	3.4E-02	1.0E-01	1.2E-02	3.9E-01	3.3E-01	1.3E-01	1.1E+03
170201Alm_D17-1568	None	Level 1	7.8-2.5-1.1-1.1-1.0-0.6	9.8E-02	9.5E-02	5.0E-02	4.1E-01	1.5E-01	2.0E-01	1.1E+03
170613Alm_D17-137003	None	Level 2	3.0-9.5-0.3-0.7-0.4-0.7	3.8E-02	3.7E-01	1.5E-02	2.7E-01	5.7E-02	2.5E-01	1.3E+03
170120Alm_D17-104010	None	Level 1	3.8-1.9-0.3-1.0-2.4-0.3	4.8E-02	7.3E-02	1.2E-02	3.8E-01	3.7E-01	1.2E-01	9.0E+02
170201Alm_D17-1571	None	Level 1	10.0-3.7-0.7-1.0-0.7-0.6	1.3E-01	1.4E-01	3.2E-02	3.9E-01	1.0E-01	2.1E-01	9.4E+02
170120Alm_D17-104005	None	Level 1	3.2-6.0-0.8-1.0-1.2-0.4	4.0E-02	2.3E-01	3.8E-02	3.7E-01	1.9E-01	1.3E-01	1.2E+03
170120Alm_D17-104020	None	Level 1	3.3-2.3-0.5-1.0-1.9-0.4	4.2E-02	8.7E-02	2.2E-02	4.0E-01	2.9E-01	1.6E-01	1.0E+03
170120Alm_D17-104001	None	Level 1	4.1-5.6-1.2-0.8-1.3-0.4	5.1E-02	2.2E-01	5.5E-02	3.2E-01	2.0E-01	1.5E-01	1.2E+03
170120Alm_D17-104011	None	Level 2	1.6-0.9-0.5-0.8-3.4-0.2	2.1E-02	3.4E-02	2.4E-02	3.1E-01	5.2E-01	8.9E-02	1.7E+03
170120Alm_D17-104009	None	Level 2	2.2-2.1-1.0-1.1-2.0-0.3	2.8E-02	8.2E-02	4.6E-02	4.3E-01	3.1E-01	1.0E-01	9.9E+02
170613Alm_D17-137002	None	Level 1	4.7-9.7-0.5-0.7-0.2-0.6	5.9E-02	3.8E-01	2.2E-02	2.8E-01	3.7E-02	2.3E-01	1.9E+03
170201Alm_D17-1574	None	Level 1	7.8-2.7-1.1-1.1-0.8-0.6	9.9E-02	1.1E-01	5.0E-02	4.2E-01	1.3E-01	2.0E-01	1.1E+03
170120Alm_D17-104003	None	Level 2	2.0-4.5-0.4-1.1-1.6-0.4	2.5E-02	1.7E-01	2.0E-02	4.1E-01	2.4E-01	1.3E-01	1.3E+03
170120Alm_D17-104017	None	Level 1	4.0-1.8-0.2-1.0-2.4-0.3	5.1E-02	7.1E-02	7.6E-03	3.7E-01	3.7E-01	1.2E-01	1.0E+03
170120Alm_D17-104008	None	Level 1	3.3-4.2-0.5-1.0-1.8-0.3	4.2E-02	1.6E-01	2.2E-02	3.8E-01	2.8E-01	1.2E-01	1.2E+03
170120Alm_D17-104014	None	Level 1	3.1-2.1-0.5-1.0-2.2-0.4	3.9E-02	8.0E-02	2.4E-02	3.7E-01	3.5E-01	1.4E-01	9.8E+02
170201Alm_D17-1567	None	Level 1	11.1-3.5-1.8-1.0-0.5-0.6	1.4E-01	1.4E-01	8.3E-02	3.7E-01	7.0E-02	2.0E-01	9.7E+02
170613Alm_D17-137006	None	Level 1	5.2-7.8-0.3-0.8-0.7-0.5	6.5E-02	3.0E-01	1.5E-02	3.1E-01	1.1E-01	2.0E-01	1.3E+03
170120Alm_D17-104013	None	Level 1	5.2-1.6-0.2-1.0-2.3-0.3	6.5E-02	6.2E-02	1.0E-02	3.9E-01	3.5E-01	1.2E-01	9.4E+02
170120Alm_D17-104012	None	Level 1	3.7-1.3-0.5-1.0-2.4-0.3	4.6E-02	5.0E-02	2.4E-02	3.9E-01	3.8E-01	1.1E-01	1.1E+03
170613Alm_D17-137008	None	Level 1	10.6-6.7-0.3-0.9-0.7-0.4	1.3E-01	2.6E-01	1.5E-02	3.6E-01	1.0E-01	1.3E-01	1.9E+03
170120Alm_D17-104006	None	Level 1	3.6-4.6-0.7-0.8-2.2-0.3	4.5E-02	1.8E-01	3.2E-02	2.9E-01	3.4E-01	1.1E-01	1.0E+03
170120Alm_D17-104016	None	Level 1	4.8-2.6-0.3-0.9-2.3-0.3	6.1E-02	1.0E-01	1.2E-02	3.6E-01	3.6E-01	1.1E-01	1.1E+03
ERR1191822	None	Level 2	1.4-5.8-0.8-0.6-0.4-1.2	1.8E-02	2.2E-01	3.7E-02	2.2E-01	5.6E-02	4.4E-01	3.4E+03
ERR1191819	None	Level 2	1.4-5.4-0.3-0.5-0.3-1.4	1.8E-02	2.1E-01	1.4E-02	2.1E-01	4.2E-02	5.1E-01	5.7E+03
ERR1191817	None	Level 2	1.6-4.5-0.3-0.7-0.2-1.4	2.1E-02	1.7E-01	1.3E-02	2.5E-01	3.7E-02	5.0E-01	5.3E+03
ERR1191821	None	Level 2	0.6-6.0-0.5-0.9-0.4-0.9	7.9E-03	2.3E-01	2.5E-02	3.3E-01	5.9E-02	3.4E-01	4.1E+03
ERR1191818	None	Level 2	1.5-4.9-0.6-0.5-0.2-1.5	1.9E-02	1.9E-01	3.0E-02	1.9E-01	2.7E-02	5.4E-01	7.4E+03
ERR1191820	None	Level 2	1.6-5.2-0.6-0.5-0.1-1.5	2.0E-02	2.0E-01	2.7E-02	1.7E-01	2.3E-02	5.5E-01	6.5E+03
mgp305-es5-up-s	None	Level 6	0.0-0.0-0.0-1.0-0.0-1.7	0.0E+00	0.0E+00	0.0E+00	3.8E-01	0.0E+00	6.2E-01	7.7E+00
mgp305-cg2-up-s	None	Level 6	0.0-0.0-0.6-1.0-0.3-1.5	0.0E+00	0.0E+00	2.9E-02	4.0E-01	4.9E-02	5.3E-01	4.3E+00
mgp305-cg5-down-s	None	Level 6	0.0-0.0-0.0-0.7-0.0-2.0	0.0E+00	0.0E+00	0.0E+00	2.9E-01	0.0E+00	7.1E-01	6.0E+00
mgp305-sm5-up-s	None	Level 7	0.0-0.0-0.0-0.0-0.0-0.0	0.0E+00	0.0E+00	0.0E+00	0.0E+00	0.0E+00	1.0E+00	6.3E+00
mgp305-bg2-up-f	None	Level 4	0.0-1.6-0.0-1.3-0.0-1.2	0.0E+00	6.2E-02	0.0E+00	4.9E-01	1.3E-04	4.5E-01	1.5E+02
mgp305-wb3-down-s	None	Level 6	0.0-0.0-0.0-2.3-0.0-0.3	0.0E+00	0.0E+00	0.0E+00	9.0E-01	0.0E+00	1.0E-01	5.5E+00
mgp305-br2-up-f	None	Level 6	0.0-0.0-0.0-0.4-0.0-2.3	0.0E+00	0.0E+00	0.0E+00	1.7E-01	0.0E+00	8.3E-01	3.0E+00
mgp305-bg2-down-s	None	Level 6	0.0-0.0-0.0-1.0-0.0-1.7	0.0E+00	0.0E+00	0.0E+00	3.7E-01	0.0E+00	6.3E-01	3.0E+00
mgp305-br1-down-f	None	Level 6	0.0-0.0-0.0-0.4-0.1-2.3	0.0E+00	0.0E+00	0.0E+00	1.6E-01	1.9E-02	8.2E-01	5.7E+00
mgp305-cg1-down-f	None	Level 4	0.0-1.9-0.0-0.8-0.4-1.5	0.0E+00	7.2E-02	0.0E+00	3.0E-01	6.9E-02	5.5E-01	5.3E+00
mgp305-bg2-up-s	None	Level 6	0.0-0.0-0.0-0.6-0.0-2.1	0.0E+00	0.0E+00	0.0E+00	2.4E-01	0.0E+00	7.6E-01	5.7E+00
ERR247140	None	Level 1	3.9-0.0-0.0-1.3-1.3-0.7	4.9E-02	3.6E-04	6.8E-05	4.9E-01	2.1E-01	2.6E-01	7.4E+02
ERR247166	None	Level 2	2.6-0.5-0.0-1.2-2.6-0.2	3.2E-02	1.8E-02	1.1E-03	4.7E-01	4.0E-01	7.9E-02	6.2E+02
ERR247145	None	Level 1	11.8-0.3-0.0-0.9-2.2-0.5	1.5E-01	1.2E-02	1.1E-03	3.3E-01	3.4E-01	1.7E-01	6.5E+02
ERR247141	None	Level 2	0.9-2.1-0.4-1.9-0.5-0.3	1.2E-02	8.3E-02	1.9E-02	7.1E-01	7.0E-02	1.0E-01	3.4E+03
ERR247168	None	Level 1	6.6-0.2-0.0-1.0-2.2-0.5	8.3E-02	5.9E-03	0.0E+00	3.7E-01	3.5E-01	1.9E-01	4.8E+02
ERR247158	None	Level 1	4.6-0.7-0.1-0.9-2.2-0.6	5.7E-02	2.8E-02	2.9E-03	3.5E-01	3.5E-01	2.1E-01	4.9E+02
ERR247165	None	Level 2	1.8-0.4-0.0-1.1-2.8-0.2	2.3E-02	1.4E-02	1.7E-03	4.3E-01	4.4E-01	8.7E-02	6.8E+02
ERR247156	None	Level 2	0.8-1.8-0.4-1.7-0.6-0.5	9.8E-03	6.8E-02	1.9E-02	6.4E-01	8.6E-02	1.7E-01	2.1E+03
ERR247174	None	Level 2	1.2-0.8-0.0-1.6-1.4-0.3	1.5E-02	3.1E-02	2.1E-04	6.1E-01	2.2E-01	1.2E-01	8.0E+02
ERR247167	None	Level 2	2.5-0.0-0.3-0.9-2.5-0.6	3.2E-02	1.8E-04	1.3E-02	3.6E-01	3.8E-01	2.2E-01	4.6E+02
