sampleID	eco_type	eco_subtype	eco_note	sampleID2
ERP002194_ERR248260	fecal_animal	fecal_animal_chicken	SouthKoreachicken	ERR248260
SRP019776_SRR789046	fecal_animal	fecal_animal_chicken	UKchicken	SRR789046
SRP066479_SRR2938112	fecal_animal	fecal_animal_chicken	Peruperiurbanshantytownchicken	SRR2938112
SRP066479_SRR2938390	fecal_animal	fecal_animal_chicken	ElSalvadorruralvillagechicken	SRR2938390
LG209_ARG_80_90.100.shuffled	fecal_animal	fecal_animal_chicken	ChinaChicken	ARG_80_90-100.shuffled
LG209_ARG_81_90.100.shuffled	fecal_animal	fecal_animal_chicken	ChinaChicken	ARG_81_90-100.shuffled
LG209_ARG_82_90.100.shuffled	fecal_animal	fecal_animal_chicken	ChinaChicken	ARG_82_90-100.shuffled
LG209_ARG_83_90.100.shuffled	fecal_animal	fecal_animal_chicken	ChinaChicken	ARG_83_90-100.shuffled
cow_Cowmanure_Ceftiofur_1_D.1_KK9__shuffuled	fecal_animal	fecal_animal_cow	USAcow	Cowmanure_Ceftiofur_1_D-1_KK9__shuffuled
cow_Cowmanure_Ceftiofur_1_D3_KK1_shuffuled	fecal_animal	fecal_animal_cow	USAcow	Cowmanure_Ceftiofur_1_D3_KK1_shuffuled
cow_Cowmanure_Ceftiofur_2_D.1_KK11_shuffuled	fecal_animal	fecal_animal_cow	USAcow	Cowmanure_Ceftiofur_2_D-1_KK11_shuffuled
cow_Cowmanure_Ceftiofur_2_D3_KK3_shuffuled	fecal_animal	fecal_animal_cow	USAcow	Cowmanure_Ceftiofur_2_D3_KK3_shuffuled
cow_Cowmanure_Ceftiofur_3_D.1_KK7_shuffuled	fecal_animal	fecal_animal_cow	USAcow	Cowmanure_Ceftiofur_3_D-1_KK7_shuffuled
cow_Cowmanure_Ceftiofur_3_D3_KK5_shuffuled	fecal_animal	fecal_animal_cow	USAcow	Cowmanure_Ceftiofur_3_D3_KK5_shuffuled
cow_Cowmanure_Control_1_D.1_KK10_shuffuled	fecal_animal	fecal_animal_cow	USAcow	Cowmanure_Control_1_D-1_KK10_shuffuled
cow_Cowmanure_Control_1_D3_KK2_shuffuled	fecal_animal	fecal_animal_cow	USAcow	Cowmanure_Control_1_D3_KK2_shuffuled
cow_Cowmanure_Control_2_D.1_KK12_shuffuled	fecal_animal	fecal_animal_cow	USAcow	Cowmanure_Control_2_D-1_KK12_shuffuled
cow_Cowmanure_Control_2_D3_KK4_shuffuled	fecal_animal	fecal_animal_cow	USAcow	Cowmanure_Control_2_D3_KK4_shuffuled
cow_Cowmanure_Control_3_D.1_KK8_shuffuled	fecal_animal	fecal_animal_cow	USAcow	Cowmanure_Control_3_D-1_KK8_shuffuled
cow_Cowmanure_Control_3_D3_KK6_shuffuled	fecal_animal	fecal_animal_cow	USAcow	Cowmanure_Control_3_D3_KK6_shuffuled
ERP002194_ERR248261	fecal_animal	fecal_animal_cow	SouthKoreacow	ERR248261
rumen_4519886	fecal_animal	fecal_animal_cow	Australiacow	4519886
rumen_4519887	fecal_animal	fecal_animal_cow	Australiacow	4519887
rumen_4519891	fecal_animal	fecal_animal_cow	Australiacow	4519891
rumen_4519893	fecal_animal	fecal_animal_cow	Australiacow	4519893
rumen_4520064	fecal_animal	fecal_animal_cow	Australiacow	4520064
rumen_6852.control.faeces_qc	fecal_animal	fecal_animal_cow	Australiacow	6852-control-faeces_qc
rumen_6852.FT.faeces_qc	fecal_animal	fecal_animal_cow	Australiacow	6852-FT-faeces_qc
rumen_6859.FT.faeces_qc	fecal_animal	fecal_animal_cow	Australiacow	6859-FT-faeces_qc
rumen_6882.control.faeces_qc	fecal_animal	fecal_animal_cow	Australiacow	6882-control-faeces_qc
rumen_6882.FT.faeces_qc	fecal_animal	fecal_animal_cow	Australiacow	6882-FT-faeces_qc
rumen_7920.control.faeces_qc	fecal_animal	fecal_animal_cow	Australiacow	7920-control-faeces_qc
rumen_7920.FT.faeces_qc	fecal_animal	fecal_animal_cow	Australiacow	7920-FT-faeces_qc
SRP066479_SRR2938217	fecal_animal	fecal_animal_cow	ElSalvadorruralvillagecow	SRR2938217
SRP066479_SRR2938218	fecal_animal	fecal_animal_cow	ElSalvadorruralvillagecow	SRR2938218
SRP066479_SRR2938219	fecal_animal	fecal_animal_cow	ElSalvadorruralvillagecow	SRR2938219
SRP066479_SRR2938220	fecal_animal	fecal_animal_cow	ElSalvadorruralvillagecow	SRR2938220
DRP002734_DRR025070part	fecal_animal	fecal_animal_pig	Japanpig	DRR025070part
DRP002734_DRR025071part	fecal_animal	fecal_animal_pig	Japanpig	DRR025071part
DRP002734_DRR025072part	fecal_animal	fecal_animal_pig	Japanpig	DRR025072part
DRP002734_DRR025073part	fecal_animal	fecal_animal_pig	Japanpig	DRR025073part
DRP002734_DRR025074part	fecal_animal	fecal_animal_pig	Japanpig	DRR025074part
DRP002734_DRR025075part	fecal_animal	fecal_animal_pig	Japanpig	DRR025075part
ERP002194_ERR248263	fecal_animal	fecal_animal_pig	SouthKoreapig	ERR248263
ERP013165_ERR1135180	fecal_animal	fecal_animal_pig	Francepig	ERR1135180
ERP013165_ERR1135190	fecal_animal	fecal_animal_pig	Francepig	ERR1135190
ERP013165_ERR1135193	fecal_animal	fecal_animal_pig	Francepig	ERR1135193
ERP013165_ERR1135201	fecal_animal	fecal_animal_pig	Francepig	ERR1135201
ERP013165_ERR1135211	fecal_animal	fecal_animal_pig	Francepig	ERR1135211
