sampleID	eco_type	eco_subtype	eco_note	sampleID2	Level	Rank_code	Rank_I	Rank_II	Rank_III	Rank_IV	ARGs_unranked	Total_abu
ERP002194_ERR248260	fecal_animal	fecal_animal_chicken	SouthKoreachicken	ERR248260	Level 1	7.6-1.6-1.2-0.9-0.4	1.3E-01	1.3E-01	4.6E-01	1.4E-01	1.3E-01	1.6E+00
SRP019776_SRR789046	fecal_animal	fecal_animal_chicken	UKchicken	SRR789046	Level 2	3.0-0.7-1.0-1.9-0.6	5.2E-02	5.6E-02	3.9E-01	3.0E-01	2.0E-01	5.7E-01
SRP066479_SRR2938112	fecal_animal	fecal_animal_chicken	Peruperiurbanshantytownchicken	SRR2938112	Level 3	0.7-1.8-1.8-0.3-0.2	1.3E-02	1.5E-01	7.2E-01	4.6E-02	7.2E-02	6.7E+00
SRP066479_SRR2938390	fecal_animal	fecal_animal_chicken	ElSalvadorruralvillagechicken	SRR2938390	Level 3	0.6-1.8-1.9-0.3-0.2	1.1E-02	1.5E-01	7.3E-01	4.2E-02	6.9E-02	6.4E+00
LG209_ARG_80_90.100.shuffled	fecal_animal	fecal_animal_chicken	ChinaChicken	ARG_80_90-100.shuffled	Level 1	11.3-0.3-0.4-1.9-0.9	2.0E-01	2.4E-02	1.6E-01	3.0E-01	3.3E-01	1.5E+00
LG209_ARG_81_90.100.shuffled	fecal_animal	fecal_animal_chicken	ChinaChicken	ARG_81_90-100.shuffled	Level 1	10.6-0.4-0.4-1.7-1.0	1.8E-01	3.2E-02	1.7E-01	2.7E-01	3.4E-01	1.2E+00
LG209_ARG_82_90.100.shuffled	fecal_animal	fecal_animal_chicken	ChinaChicken	ARG_82_90-100.shuffled	Level 3	2.4-2.2-1.5-0.4-0.4	4.2E-02	1.8E-01	5.8E-01	6.9E-02	1.3E-01	4.5E+00
LG209_ARG_83_90.100.shuffled	fecal_animal	fecal_animal_chicken	ChinaChicken	ARG_83_90-100.shuffled	Level 3	2.4-2.2-1.5-0.4-0.4	4.1E-02	1.8E-01	5.9E-01	6.5E-02	1.3E-01	5.1E+00
cow_Cowmanure_Ceftiofur_1_D.1_KK9__shuffuled	fecal_animal	fecal_animal_cow	USAcow	Cowmanure_Ceftiofur_1_D-1_KK9__shuffuled	Level 2	2.7-0.6-0.7-2.6-0.6	4.7E-02	5.0E-02	2.9E-01	4.1E-01	2.0E-01	8.2E-02
cow_Cowmanure_Ceftiofur_1_D3_KK1_shuffuled	fecal_animal	fecal_animal_cow	USAcow	Cowmanure_Ceftiofur_1_D3_KK1_shuffuled	Level 2	2.6-0.6-0.9-2.0-0.6	4.5E-02	4.6E-02	3.7E-01	3.2E-01	2.2E-01	1.1E-01
