Reference	Genotype	Phenotype
0910185A	aminoglycoside__aph(3)-IV	aminoglycoside
1112175A	macrolide-lincosamide-streptogramin__ermE	macrolide-lincosamide-streptogramin
1405331A	aminoglycoside__streptomycin resistance protein	aminoglycoside
1411197A	beta-lactam__class D beta-lactamase	beta-lactam
1616230A	beta-lactam__class A beta-lactamase	beta-lactam
1703286A	tetracycline__tetL	tetracycline
1708210A	beta-lactam__class C beta-lactamase	beta-lactam
1815179A	macrolide-lincosamide-streptogramin__ermO	macrolide-lincosamide-streptogramin
1BLC	beta-lactam__class A beta-lactamase	beta-lactam
1BUL	beta-lactam__NMC-A	beta-lactam
1BZA	beta-lactam__Toho-1	beta-lactam
1CIA	chloramphenicol__catA	chloramphenicol
1QCA	chloramphenicol__catA	chloramphenicol
1VIE	trimethoprim__dfrB1	trimethoprim
1XAT	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
A0KQI1	bacitracin__bacA	bacitracin
A0RD31	fosfomycin__fosB	fosfomycin
A15097.gene.p01	macrolide-lincosamide-streptogramin__ereB	macrolide-lincosamide-streptogramin
A1A9B7	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
A1A9U9	multidrug__mdtG	multidrug
A1A9W0	multidrug__mdtH	multidrug
A1ABK4	multidrug__mdtK	multidrug
A1ADA7	polymyxin__arnA	polymyxin
A1AFX9	bacitracin__bacA	bacitracin
A1AHP3	multidrug__mdtL	multidrug
A4VLM0	bacitracin__bacA	bacitracin
A7FE74	bacitracin__bacA	bacitracin
A7FMC1	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
A7ZKF6	multidrug__mdtG	multidrug
A7ZMC9	multidrug__mdtK	multidrug
A7ZP73	polymyxin__arnA	polymyxin
A7ZTR5	multidrug__mdtL	multidrug
A7ZW03	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
A7ZZ10	multidrug__mdtG	multidrug
A7ZZ23	multidrug__mdtH	multidrug
A8A0L0	multidrug__mdtK	multidrug
A8A2C2	polymyxin__arnA	polymyxin
A8A4L2	bacitracin__bacA	bacitracin
A8YZV4	bacitracin__bacA	bacitracin
A9HXK3	bacitracin__bacA	bacitracin
A9VRT9	fosfomycin__fosB	fosfomycin
AAA16158	multidrug__norA	multidrug
AAA16406	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
AAA19915	aminoglycoside__aac(3)-II	aminoglycoside
AAA21532	beta-lactam__class A beta-lactamase	beta-lactam
AAA22075	macrolide-lincosamide-streptogramin__ermA	macrolide-lincosamide-streptogramin
AAA25465	beta-lactam__penA	beta-lactam
AAA25979	beta-lactam__PSE-1	beta-lactam
AAA26087	beta-lactam__SHV-1	beta-lactam
AAA26492	macrolide-lincosamide-streptogramin__ermE	macrolide-lincosamide-streptogramin
AAA26700	aminoglycoside__aph(3)-I	aminoglycoside
AAA26779	macrolide-lincosamide-streptogramin__ermO	macrolide-lincosamide-streptogramin
AAA27431	macrolide-lincosamide-streptogramin__ermF	macrolide-lincosamide-streptogramin
AAA48273	rifamycin__rifampin resistance protein	rifamycin
AAA50325	macrolide-lincosamide-streptogramin__oleB	macrolide-lincosamide-streptogramin
AAA62061	multidrug__mdtL	multidrug
AAA65958	vancomycin__vanY	vancomycin
AAA67509	tetracenomycin_C__tcmA	tetracenomycin_C
AAA83416	beta-lactam__class C beta-lactamase	beta-lactam
AAA88337	aminoglycoside__aph(3)-I	aminoglycoside
AAA91586	beta-lactam__OXA-1	beta-lactam
AAA92254	aminoglycoside__aadD	aminoglycoside
AAA98228	macrolide-lincosamide-streptogramin__ermC	macrolide-lincosamide-streptogramin
AAA98259	macrolide-lincosamide-streptogramin__vgbA	macrolide-lincosamide-streptogramin
AAB00446	aminoglycoside__aph(6)-I	aminoglycoside
AAB03644	macrolide-lincosamide-streptogramin__mphA	macrolide-lincosamide-streptogramin
AAB05246	tetracycline__tetM	tetracycline
AAB05628	vancomycin__vanX	vancomycin
AAB08925	tetracycline__tetU	tetracycline
AAB17875	unclassified__thiostrepton resistance methylase tsnR	unclassified
AAB19684	beta-lactam__OXY-2	beta-lactam
AAB20441	aminoglycoside__aac(3)-I	aminoglycoside
AAB20442	aminoglycoside__aac(3)-II	aminoglycoside
AAB22638	beta-lactam__CTX-M-1	beta-lactam
AAB23456	macrolide-lincosamide-streptogramin__lmrB	macrolide-lincosamide-streptogramin
AAB34257	aminoglycoside__aph(3)-I	aminoglycoside
AAB37395	beta-lactam__SHV-5	beta-lactam
AAB47993	multidrug__multidrug_transporter	multidrug
AAB51122	tetracycline__tetQ	tetracycline
AAB51440	macrolide-lincosamide-streptogramin__ermE	macrolide-lincosamide-streptogramin
AAB58160	multidrug__ceoA	multidrug
AAB58161	multidrug__ceoB	multidrug
AAC15775	tetracycline__tetracycline_resistance_protein	tetracycline
AAC21590	beta-lactam__metallo-beta-lactamase	beta-lactam
AAC22099	beta-lactam__PBP-1A	beta-lactam
AAC27754	multidrug__amrB	multidrug
AAC32186	trimethoprim__dfrA16	trimethoprim
AAC33146	macrolide-lincosamide-streptogramin__ermC	macrolide-lincosamide-streptogramin
AAC37034	macrolide-lincosamide-streptogramin__ermG	macrolide-lincosamide-streptogramin
AAC43174	multidrug__mdtP	multidrug
AAC44147	multidrug__mdfA	multidrug
AAC45547	beta-lactam__PBP-2X	beta-lactam
AAC45552	macrolide-lincosamide-streptogramin__ermC	macrolide-lincosamide-streptogramin
AAC60780	fosmidomycin__rosB	fosmidomycin
AAC60781	fosmidomycin__rosA	fosmidomycin
AAC64521	multidrug__mexG	multidrug
AAC64522	multidrug__multidrug_transporter	multidrug
AAC73966	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
AAC75243	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
AAC75315	polymyxin__arnA	polymyxin
AAC76696	multidrug__emrD	multidrug
AAC77110	beta-lactam__class C beta-lactamase	beta-lactam
AAC77497	aminoglycoside__aac(3)-I	aminoglycoside
AAC78336	macrolide-lincosamide-streptogramin__ereA	macrolide-lincosamide-streptogramin
AAC95456	beta-lactam__PBP-2X	beta-lactam
AAD04032	tetracycline__tetracycline_resistance_protein	tetracycline
AAD21213	bacitracin__bcrA	bacitracin
AAD41881	vancomycin__vanD	vancomycin
AAD42180	vancomycin__vanR	vancomycin
AAD42181	vancomycin__vanS	vancomycin
AAD42182	vancomycin__vanY	vancomycin
AAD42183	vancomycin__vanD	vancomycin
AAD42184	vancomycin__vanD	vancomycin
AAD42185	vancomycin__vanD	vancomycin
AAD43097	beta-lactam__PSE-1	beta-lactam
AAD51056	vancomycin__vanR	vancomycin
AAD51058	vancomycin__vanY	vancomycin
